Customer_ID,Feedback_ID,Feedback_Date,Customer_Age,Customer_Gender,Product_ID,Feedback_Type,Feedback_Text,Rating,Response_Time,Resolution_Status,Improvement_Suggested,Follow_Up,Follow_Up_Date,Action_Taken
CUST001,FDBK001,2024-09-29 01:27:44.223664,65,Female,P010,Complaint,Love the new features!,4,48,Pending,Add more payment options,No,N/A,Discussed in team huddle
CUST002,FDBK002,2024-09-01 01:27:44.223683,53,Male,P007,Praise,Fast delivery and great packaging.,2,22,Resolved,Offer bulk discounts,Yes,N/A,Shared feedback with team
CUST003,FDBK003,2024-09-28 01:27:44.223686,56,Male,P007,Suggestion,Had issues with the installation.,2,35,Resolved,More flavors needed,Yes,N/A,Under review for next season
CUST004,FDBK004,2024-09-07 01:27:44.223688,61,Male,P006,Praise,Please improve your website interface.,2,23,Resolved,Offer bulk discounts,No,2024-09-03 01:27:44.224076,Discussed in team huddle
CUST005,FDBK005,2024-09-10 01:27:44.223690,26,Male,P007,Suggestion,"Amazing taste, will buy again.",3,15,Resolved,Improve packaging,Yes,N/A,Discussed in team huddle
CUST006,FDBK006,2024-09-26 01:27:44.223693,51,Male,P006,Praise,I would like to see more flavors.,1,3,Pending,Improve packaging,No,2024-09-03 01:27:44.224080,No action taken yet
CUST007,FDBK007,2024-09-16 01:27:44.223695,31,Male,P002,Praise,The quality is not what I expected.,5,9,Resolved,More flavors needed,No,2024-09-29 01:27:44.224083,Scheduled for next meeting
CUST008,FDBK008,2024-09-20 01:27:44.223697,27,Female,P001,Complaint,Love the new features!,4,46,Pending,Provide better warranty info,Yes,N/A,Under review for next season
CUST009,FDBK009,2024-09-07 01:27:44.223705,49,Female,P006,Praise,Fast delivery and great packaging.,2,20,Resolved,Provide detailed product information,Yes,2024-09-25 01:27:44.224086,Under review for next season
CUST010,FDBK010,2024-09-26 01:27:44.223708,50,Female,P009,Suggestion,The quality is not what I expected.,3,5,Pending,Improve packaging,Yes,N/A,Sent a follow-up email
CUST011,FDBK011,2024-09-09 01:27:44.223709,47,Male,P008,Praise,Had issues with the installation.,5,3,Pending,Offer bulk discounts,Yes,2024-09-12 01:27:44.224089,Feedback noted for future consideration
CUST012,FDBK012,2024-09-20 01:27:44.223711,48,Male,P005,Praise,I would like to see more flavors.,2,35,Resolved,Keep up the good work!,Yes,N/A,Scheduled for next meeting
CUST013,FDBK013,2024-09-18 01:27:44.223713,40,Female,P006,Praise,Very helpful support team.,1,43,Resolved,Add more payment options,No,2024-09-08 01:27:44.224092,Shared feedback with team
CUST014,FDBK014,2024-09-13 01:27:44.223714,45,Male,P008,Praise,The product stopped working.,4,36,Pending,Increase product availability,No,N/A,Shared feedback with team
CUST015,FDBK015,2024-09-27 01:27:44.223715,53,Female,P003,Complaint,Love the new features!,1,19,Resolved,Improve packaging,Yes,N/A,Developing new marketing strategy
